"Objeto del Gasto","Auxiliar","Denominación","Desc. Larga"
"514","129","A Gob. Dptal. Lavalleja-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","130","A Gob. Dptal. Maldonado-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","131","A Gob.Dptal.Paysandú Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","132","A Gob. Dptal. Rio Negro Prog.oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","133","A Gob. Dptal. Rivera Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","134","A Gob. Dptal. Rocha-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","135","A Gob. Dptal. Salto-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","136","A Gob. Dptal. San José-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","137","A Gob. Dptal. Soriano-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","138","A Gob. Dptal. Tacuarembó-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","139","A Gob. Dptal Treinta y Tres-Prog. oportunidad labor.COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"514","140","A Gob. Dptal. Montevideo-Prog. oportunidad laboral COVID-19","Ley 19.952 Créase el Programa ""Oportunidad Laboral"" Los beneficiarios percibirán la prestación transitoria dentro de los primeros diez días siguientes de ejecutado su trabajo en cada mes, por un monto máximo mensual nominal equivalente a $ 12.500. Serán atendidas con cargo al Fondo Solidario COVID-19."
"515","000","A Gobierno Central","Aportes que las entidades descentralizadas, empresas públicas financieras y no financieras, gobiernos departamentales y otras entidades del sector público, efectúan a la Administración Central para gastos corrientes. En el Inciso 05 (Casinos) tiene asignación de crédito por su Presupuesto Anual según A165 Ley 16226, con aprobación del Poder Ejecutivo."
"515","001","Aporte Ley Mipymes COVID-19","Asistencia pura por baja en recaudación"
"515","002","DGI exoneración IVA e IMESI - Emergencia Hídrica","Renuncia fiscal de IVA e IMESI en el agua embotellada por Emergencia Hídrica"
"519","000","Otras transferencias corrientes al Sector Público","Clasifica otras Transferencias Corrientes al Sector Público no incluidas en los objetos anteriores clasificados. Partida asignada p/Presupuesto 19.355 de 19/12/2015 p/ los Incisos 02, 06, 07, 09 a 11, 15, y 29. El A.90 de la L. 19.355 le asigna al In. 02 UE 011 ""Secr. Nal del Deporte"", para convenios con organismos públicos o privados. Contingente Ej. 2024 Res. 012746 de  14/12/2023 p/Inc. 02, UE 001, Inc. 15, UE 007."
"519","001","Delegación Uruguaya Comisión Técnica Mixta Salto Grande","Clasifica la transferencia a la Delegación Uruguaya de la Comisión Técnica-Mixta de Salto Grande asignada en el Inciso 24 ""Diversos Créditos"" UE024 ""D.G.de Secret.MEF"" por Ley de Presupuesto L19355 de 19/12/2015.
 Posteriormente Asignación prevista en presupuesto 2021-2024."
"519","002","Agencia Nacional de Vivienda","Clasifica la transferencia a la Agencia Nacional de Vivienda asignada en el Inciso 21 ""Subsidios y Subvenciones"" UE021 por Ley de Presupuesto L19355 de 19/12/2015. El A16 de la L18125 de 27/04/2007 dispone que RR.GG. se hará cargo de los costos operativos que demande el funcionamiento de la ANV hasta la aprobación del primer presupuesto, y según Resolución del Presidente de la República de fecha 3 de Diciembre de 2007."
"519","003","Sistema Nacional Integrado de Salud","Clasifica la transferencia al Sistema Integrado de  Salud (FONASA) asignada en el Inciso 24 ""Diversos Créditos"" UE024 ""D.G.de Secret.MEF"" por Ley de Presupuesto L19355 de 19/12/2015. El A60 L18211 5/12/2007 autoriza que el Poder Ejecutivo con MEF atienda las insuficiencias financieras del FONASA."
"519","006","Fondos destinados al Instituto Evaluación Educativa","Clasifica la transferencia al INEE - Instituto Nacional de Evaluación Educativa- persona jurídica de derecho público no estatal- partida asignada por Ley de Presupuesto 19355 de 19/12/2015 en el Inciso 21""Subsidios y Subvenciones "", UE 011 ""MEC"",  y A662 de L19355 la incrementa para los ejercicios 2016-2019. Por A235 L19535 Rendiciòn Cuentas 2016 de 25/09/2017 se incrementa solo por ejercicio 2018.
L.19924 Art 644 le asigna partida"
"519","007","Agencia de Eval, Regul y Vigilancia de Tecnologías Sanitaria","Artículo 403 (Creación) de la Ley 19924.  La Agencia de Evaluación de Tecnologías Sanitarias creada por el artículo 407 de la Ley 19889, será una persona jurídica de derecho público no estatal, que tendrá su domicilio en la capital de la República y se vinculará con el PE a través del MSP."
"519","008","Investigación e innovación en alimentos y salud","Ley 19924 Art. 653.- Créas en el Inc. 24 UE 007 MGAP, el Programa de Apoyo a la Investigación e innovación en Alimentos y Salud Humana.  Asígnase en el objeto de gasto 519/008 una partida anual de $ 15.000.000 en la FF 1.1 y de $ 45.000.000 en la FF 2.1."
"519","020","A organismos por gastos en salud COVID-19","Codifica la regularización de gastos realizados por los inciso en virtud de la Pandemia del COVID-19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"519","021","A organismos por gastos en asistencia social COVID19","Codifica la regularización de gastos realizados por los inciso en virtud de la Pandemia del COVID-19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"519","022","A organismos por gastos en vigilancia y limpieza COVID-19","Codifica la regularización de gastos realizados por los inciso en virtud de la Pandemia del COVID-19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"519","023","A organismos por gastos enequipamiento y mobiliario COVID-19","Codifica la regularización de gastos realizados por los inciso en virtud de la Pandemia del COVID-19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"519","024","A organismos por gastos en seguridad y prevención COVID-19","Codifica la regularización de gastos realizados por los inciso en virtud de la Pandemia del COVID-19.
Recibe trasposición del objeto 749/014 (Partida a reaplicar Fdo COVID 19) que está abierta en el Inciso 24 U.E 024 L.19.874 de 8/04/2020."
"519","025","Encuestadores COVID-19","Codifica la transferencia a la Corporación Nacional para el Desarrollo para la contratación de rastreadores y encuestadores en el marco de la Pandemia del COVID-19.
Dicha contratación se trealizará a traves del Contrato de Fideicomiso de Administración RENADRO de conformidad con su cláusula 3.2 y 3.4."
"519","026","Rastreadores COVID-19","Codifica la transferencia a la Corporación Nacional para el Desarrollo para la contratación de rastreadores y encuestadores en el marco de la Pandemia del COVID-19.
Dicha contratación se trealizará a traves del Contrato de Fideicomiso de Administración RENADRO de conformidad con su cláusula 3.2 y 3.4."
"519","027","Vacunadores COVID-19","Codifica la transferencia a la Corporación Nacional para el Desarrollo para la contratación de rastreadores y encuestadores en el marco de la Pandemia del COVID-19.
Dicha contratación se trealizará a traves del Contrato de Fideicomiso de Administración RENADRO de conformidad con su cláusula 3.2 y 3.4."
"519","028","Agencia de Vigilancia Sanitaria del Uruguay (AViSU)","Creada como Persona de derecho Público no Estatal por art. 371 de la Ley 20.446."
"521","000","Sector agrícola","Clasifica los aportes para gastos corrientes que se otorgan a empresas del Sector Agrícola. La Ley de Presupuesto 19355 de 19/12/2015 asigna al Inciso 07=MGAyP. Normativa: 1) A88 L18083 27/12/2006 y Ley Modificativa 18341 30/08/2008 PE subsidia 50% aporte mínimo para contribuyentes produc. agropecuarios, y A6 Dto.778/008 12/2008.2) lit.A) A383 L18719 y A4 Dto 296/011 16/08/2011 que permite a MGAyP a realizar Convenios."
"521","001","Compensación asistencia financiera. BPS c/ sec. Agrícola","Clasifica la transferencia por concepto de compensación de Asistencia Financiera al BPS por Sector Agrícilo asignada en el Inciso 21 ""Subsidios y Subvenciones "" UE021 por Ley de Presupuesto L19355 de 19/12/2015. El A23 L18341 30/08/2008 establece deducción de obligación a pagar con BPS del crédito fiscal de la diferencia de las alicuotas del A7 Título 9 del Texto Ordenado 1996, para pequeños productores lecheros (Sector Agrícola)."
"521","002","Fondo Forestal - prestación de subsidio a productores","Clasifica la transferencia  al Fondo Forestal asignada en el Inciso 21 ""Subsidios y Subvenciones "" UE007 ""MGAyP"" por Ley de Presupuesto L19355 de 19/12/2015 para los ejercicios 2016 y 2017. Normativa:El A45 L16002 de 25/11/1988 (Dto Reglamentario 931/998) establece prestación de un subsidio para los productores con proyectos de bosques, contribuyentes de IRIC, IRA o  IMAGRO y las reducciones de acuerdo al A43 L17453. Ley 15939 28/12/987."
"522","000","Empresas del sector pecuario","Clasifica los aportes para gastos corrientes que se otorgan a empresas del sector pecuario, de acuerdo a la normativa dispuesta por el A23 L18341 30/08/2008, y Dto.778/008 12/2008 de Impuesto a los bienes agropercuarios (Disminución de alicuota o deducción de obligaciones BPS). Inciso 07 ""MGAP"", UE 007 =D.G.Desarrollo Rural. Proyecto 749/000."
"522","001","Compensación asistencia financiera. BPS c/sec. pecuario","Clasifica la transferencia por concepto de compensación de Asistencia Financiera al BPS por Sector Pecuario asignada en el Inciso 21 ""Subsidios y Subvenciones "" UE021 por Ley de Presupuesto L19355 de 19/12/2015. El A24 L18341 30/08/2008 establece deducción de obligación a pagar con BPS del crédito fiscal de la diferencia de las alicuotas del A7 Título 9 del Texto Ordenado 1996, para productores de explotaciones pecuarias. (Sector Pecuario)."
"522","002","Fondo Permanente de Indemnización MGAP","Clasifica la transferencia al Fondo Permanente de Indemnización que por los A14 L16082 18/10/1989 y A378 L18719 27/12/2010 se otorga debido a la pérdida de animales por sacrificio sanitario y destrucción total dispuesta por la autoridad sanitaria en el ejercicio de las competencias del MGAP. Uso transitorio de fondos. Inc.07=MGAyP Unidad Ejecutora 005 ""Dir. Gral. Servicios Ganaderos""."
"522","003","Crédito fiscal c/DGI p/titulares explotaciones agropecuarias","El A11 Ley 18910 de 25/05/2012 el Poder Ejecutrivo reconoce crédito fiscal a favor de los titulares de explotaciones agropecuarias por enajenación de semovientes. Dicho pago podrá aplicarse a la cancelación de obligaciones tributarias ante la DGI. Solicitado por Div. Contabilidad 18/11/2013."
